sentence,label,idx,gold_label,category,notes
"instead of hiding pinocchio from critics , miramax should have hidden it from everyone .",0,364,negative,clear,
a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn .,1,835,positive,clear,
"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid .",1,231,positive,clear,
"this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic .",1,514,positive,contrastive,
"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show .",0,370,negative,clear,
"stephen rea , aidan quinn , and alan bates play desmond 's legal eagles , and when joined by brosnan , the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing , ` tis .",1,860,positive,clear,
"due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality .",0,651,negative,clear,
"outer-space buffs might love this film , but others will find its pleasures intermittent .",0,405,negative,contrastive,
"another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better .",1,561,positive,contrastive,
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,0,257,negative,clear,
... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .,0,349,negative,clear,
rare birds has more than enough charm to make it memorable .,1,525,positive,clear,
"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film .",1,603,positive,clear,
"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past .",1,537,positive,clear,
"for the first time in years , de niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .",1,696,positive,clear,
and that leaves a hole in the center of the salton sea .,0,330,negative,ambiguous,
the performances take the movie to a higher level .,1,611,positive,clear,
unflinchingly bleak and desperate,0,1,negative,clear,
a good piece of work more often than not .,1,424,positive,clear,
"the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet .",1,299,positive,contrastive,
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them .",0,408,negative,contrastive,
that 's pure pr hype .,0,322,negative,clear,
sam mendes has become valedictorian at the school for soft landings and easy ways out .,0,115,negative,ambiguous,
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast .,1,404,positive,clear,
worth watching for dong jie 's performance -- and for the way it documents a culture in the throes of rapid change .,1,720,positive,clear,
it takes talent to make a lifeless movie about the most heinous man who ever lived .,0,157,negative,ambiguous,
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) .,0,477,negative,mixed,
"it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself .",1,277,positive,clear,
it 's hard to imagine alan arkin being better than he is in this performance .,1,753,positive,clear,
k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .,0,285,negative,clear,
"a poignant , artfully crafted meditation on mortality .",1,721,positive,clear,
reign of fire looks as if it was made without much thought -- and is best watched that way .,1,230,positive,ambiguous,
"in a way , the film feels like a breath of fresh air , but only to those that allow it in .",1,856,positive,clear,
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable .,0,118,negative,clear,
"exciting and direct , with ghost imagery that shows just enough to keep us on our toes .",1,821,positive,clear,
the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it .,0,145,negative,clear,
do n't be fooled by the impressive cast list - eye see you is pure junk .,0,560,negative,clear,
"while it 's genuinely cool to hear characters talk about early rap records ( sugar hill gang , etc. ) , the constant referencing of hip-hop arcana can alienate even the savviest audiences .",0,863,negative,contrastive,
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",1,36,positive,clear,
"while undisputed is n't exactly a high , it is a gripping , tidy little movie that takes mr. hill higher than he 's been in a while .",1,480,positive,contrastive,
makes for a pretty unpleasant viewing experience .,0,606,negative,clear,
"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .",1,152,positive,contrastive,
"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere .",0,465,negative,contrastive,
the heavy-handed film is almost laughable as a consequence .,0,153,negative,clear,
it 's just filler .,0,583,negative,clear,
it 's a buggy drag .,0,822,negative,clear,
"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand .",0,182,negative,contrastive,
a beguiling splash of pastel colors and prankish comedy from disney .,1,326,positive,clear,
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath .",1,41,positive,clear,
"... a story we have n't seen on the big screen before , and it 's a story that we as americans , and human beings , should know .",1,588,positive,clear,
"complete lack of originality , cleverness or even visible effort",0,315,negative,clear,
it 's a charming and often affecting journey .,1,0,positive,clear,
"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting .",0,291,negative,contrastive,
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .",1,78,positive,contrastive,
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool .",0,411,negative,contrastive,
"`` mostly martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see .",1,533,positive,clear,
manages to be both repulsively sadistic and mundane .,0,58,negative,clear,
a by-the-numbers effort that wo n't do much to enhance the franchise .,0,237,negative,clear,
trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son .,1,849,positive,clear,
"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years .",1,244,positive,clear,
i do n't think i laughed out loud once .,0,770,negative,clear,
"minority report is exactly what the title indicates , a report .",1,273,positive,ambiguous,
seldom has a movie so closely matched the spirit of a man and his work .,1,24,positive,clear,
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .",1,440,positive,clear,
a solid film ... but more conscientious than it is truly stirring .,1,143,positive,contrastive,
"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters",1,788,positive,clear,
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second .,0,147,negative,mixed,
"dull , lifeless , and amateurishly assembled .",0,864,negative,clear,
"it 's as if you 're watching a movie that was made in 1978 but not released then because it was so weak , and it has been unearthed and released now , when it has become even weaker .",0,789,negative,clear,
villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) .,0,512,negative,clear,
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,0,79,negative,clear,
"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays .",0,301,negative,clear,
"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam .",0,759,negative,clear,
"slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ?",0,163,negative,contrastive,
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .",1,17,positive,clear,
part low rent godfather .,0,852,negative,clear,
the character of zigzag is not sufficiently developed to support a film constructed around him .,0,141,negative,clear,
"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater .",0,805,negative,contrastive,
"while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious .",1,644,positive,clear,
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .",0,682,negative,contrastive,
"the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher .",1,261,positive,contrastive,
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie .",0,158,negative,mixed,
